G4LYQ6	A0A164D380	0.260	604	441	0	6	609	34	630	4.625E-39	1334
G4LZ70	O61741	0.701	411	123	0	34	444	2	412	1.479E-68	2821
A0A5K4F242	P91240	0.290	706	450	0	1	706	1	635	4.377E-28	1066
A0A5K4F8K6	Q9XW70	0.195	739	573	0	4	742	3	715	1.868E-57	2174
A0A3Q0KCQ8	Q20446	0.221	555	359	0	2	556	3	464	2.642E-34	905
A0A5K4F850	A1EHR5	0.166	751	492	0	115	865	4	594	6.780E-14	366
A0A3Q0KF59	Q18991	0.204	182	120	0	2	183	6	157	1.260E-10	297
A0A3Q0KF72	P39055	0.626	830	309	0	1	828	1	830	5.769E-97	4603
A0A3Q0KPD2	O61198	0.086	581	506	0	5	559	661	1241	2.551E-05	33
A0A5K4FC92	Q21446	0.133	539	380	0	6	444	1	539	1.894E-04	76
A0A5K4FAG5	A0A061ACK7	0.427	220	121	0	5	217	59	278	3.488E-26	943
A0A3Q0KF40	Q8MXS7	0.226	476	306	0	15	490	2	397	7.108E-21	811
A0A3Q0KF56	Q9XX11	0.314	194	128	0	22	215	1	188	2.032E-17	569
A0A3Q0KF86	Q95XU6	0.208	731	518	0	5	659	10	740	1.224E-14	163
A0A3Q0KKP7	G5EFN7	0.357	334	188	0	1	334	68	361	3.867E-23	789
A0A3Q0KKR2	Q93235	0.281	309	205	0	3	288	1	309	2.494E-27	839
A0A3Q0KKQ7	Q9U2H1	0.455	389	192	0	1	389	1	353	3.689E-40	1485
G4VCM2	O18158	0.644	1033	366	0	28	1060	122	1150	0.000E+00	5787
G4VHZ6	Q23166	0.557	353	153	0	27	379	8	353	2.107E-56	2055
G4VJ59	Q23202	0.392	255	152	0	1	255	3	253	1.383E-29	1053
G4VJF7	P34473	0.219	201	155	0	45	243	1	201	1.520E-08	246
G4VJK7	P34548	0.351	252	147	0	2	253	54	280	1.017E-26	860
G4VJP1	P34523	0.141	210	159	0	7	216	1	186	9.749E-08	182
G4VJX2	C7FZU5	0.234	157	117	0	4	157	51	207	1.124E-05	251
G4VK46	Q93831	0.314	222	145	0	1	213	1	222	1.309E-11	392
G4VKD1	G5EDB8	0.558	214	91	0	1	208	1	214	1.472E-20	984
A0A3Q0KNC6	Q18221	0.162	1818	1249	0	1	1818	16	1507	3.265E-32	372
A0A3Q0KNN3	A0A131MBF9	0.473	889	463	0	1	879	1	889	5.307E-60	3544
A0A3Q0KNT5	Q21775	0.314	195	123	0	6	200	2	182	1.441E-16	577
A0A3Q0KNY2	O62436	0.223	770	516	0	18	787	14	678	1.289E-43	1249
A0A3Q0KPD1	Q18607	0.249	390	277	0	1	390	1	370	3.035E-30	995
G4VC44	O44827	0.321	485	327	0	1	483	26	510	1.540E-31	1567
G4VHW3	Q17868	0.538	91	42	0	1	91	4	94	4.345E-13	448
G4VIM8	O17607	0.625	454	170	0	1	453	18	471	4.771E-72	2802
G4VJ49	Q52GY4	0.132	204	155	0	1	180	2	205	5.447E-07	121
G4VR77	Q95Y26	0.207	436	315	0	2	437	61	458	1.352E-26	755
A0A5K4F2A6	Q968A5	0.444	381	201	0	1	381	1	363	6.761E-26	1166
A0A5K4F7Y5	B6VQ94	0.174	1076	728	0	18	1093	1	882	8.609E-47	1046
A0A5K4F8C3	Q6A573	0.183	548	409	0	2	549	50	550	9.122E-14	203
G4LWW9	Q8WQG5	0.163	145	116	0	3	147	1	139	1.411E-08	281
